"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"64",101,"propMissAct_0.22_autoCorr_0.5","xreg2",-1.41112996259822,0.133226885041655,"MAR","dropNA_simple",101
"65",101,"propMissAct_0.22_autoCorr_0.5","sigma",0.612322018624731,NA,"MAR","dropNA_simple",101
"66",101,"propMissAct_0.4_autoCorr_0.54","ar1",0.436970883688679,0.0391788947994524,"MAR","dropNA_simple",101
"67",101,"propMissAct_0.4_autoCorr_0.54","intercept",3.49243928010288,0.565961646596089,"MAR","dropNA_simple",101
"68",101,"propMissAct_0.4_autoCorr_0.54","xreg1",1.47161578853543,0.16742817258777,"MAR","dropNA_simple",101
"69",101,"propMissAct_0.4_autoCorr_0.54","xreg2",-1.12135566189285,0.157840182049155,"MAR","dropNA_simple",101
"70",101,"propMissAct_0.4_autoCorr_0.54","sigma",0.542948893067687,NA,"MAR","dropNA_simple",101
"71",101,"propMissAct_0.64_autoCorr_0.49","ar1",0.426279400554334,0.0509248107279065,"MAR","dropNA_simple",101
"72",101,"propMissAct_0.64_autoCorr_0.49","intercept",3.26434921342325,0.7089932570064,"MAR","dropNA_simple",101
"73",101,"propMissAct_0.64_autoCorr_0.49","xreg1",1.77204305894835,0.208615984580097,"MAR","dropNA_simple",101
"74",101,"propMissAct_0.64_autoCorr_0.49","xreg2",-1.08577946140598,0.197007682214493,"MAR","dropNA_simple",101
"75",101,"propMissAct_0.64_autoCorr_0.49","sigma",0.515862722132199,NA,"MAR","dropNA_simple",101
"76",101,"propMissAct_0.22_autoCorr_0.5","ar1",0.360471389994844,0.0365635894322516,"MAR","dropNA_complete",101
"77",101,"propMissAct_0.22_autoCorr_0.5","intercept",4.69308783307258,0.486764595715989,"MAR","dropNA_complete",101
"78",101,"propMissAct_0.22_autoCorr_0.5","xreg1",1.54243481852006,0.144791691016732,"MAR","dropNA_complete",101
"79",101,"propMissAct_0.22_autoCorr_0.5","xreg2",-1.45045569890225,0.133961089268746,"MAR","dropNA_complete",101
"80",101,"propMissAct_0.22_autoCorr_0.5","sigma",0.595579491999333,NA,"MAR","dropNA_complete",101
"81",101,"propMissAct_0.4_autoCorr_0.54","ar1",0.422552197095511,0.0451778366941016,"MAR","dropNA_complete",101
"82",101,"propMissAct_0.4_autoCorr_0.54","intercept",3.7372961116889,0.629745830915776,"MAR","dropNA_complete",101
"83",101,"propMissAct_0.4_autoCorr_0.54","xreg1",1.30060091833336,0.198266786533169,"MAR","dropNA_complete",101
"84",101,"propMissAct_0.4_autoCorr_0.54","xreg2",-1.17247855048201,0.176212976831114,"MAR","dropNA_complete",101
"85",101,"propMissAct_0.4_autoCorr_0.54","sigma",0.577456493406602,NA,"MAR","dropNA_complete",101
