"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"106",101,"propMissAct_0.23_autoCorr_0.49","intercept",0.325903560137643,0.041968018257583,"MAR","Multiple Imputations",101
"107",101,"propMissAct_0.23_autoCorr_0.49","xreg1",5.14913670689714,0.507021465008369,"MAR","Multiple Imputations",101
"108",101,"propMissAct_0.23_autoCorr_0.49","xreg2",1.89543997562256,0.141801113103278,"MAR","Multiple Imputations",101
"109",101,"propMissAct_0.23_autoCorr_0.49","phi",-1.62158973451706,0.144088210543927,"MAR","Multiple Imputations",101
"110",101,"propMissAct_0.23_autoCorr_0.49","sigma",0.535535556916863,NA,"MAR","Multiple Imputations",101
"111",101,"propMissAct_0.4_autoCorr_0.46","intercept",0.299213224144886,0.0527255578986972,"MAR","Multiple Imputations",101
"112",101,"propMissAct_0.4_autoCorr_0.46","xreg1",5.34249366598315,0.586807212527199,"MAR","Multiple Imputations",101
"113",101,"propMissAct_0.4_autoCorr_0.46","xreg2",1.91844565621521,0.151965085277681,"MAR","Multiple Imputations",101
"114",101,"propMissAct_0.4_autoCorr_0.46","phi",-1.67855146256857,0.16133382535337,"MAR","Multiple Imputations",101
"115",101,"propMissAct_0.4_autoCorr_0.46","sigma",0.548494454686219,NA,"MAR","Multiple Imputations",101
"116",101,"propMissAct_0.63_autoCorr_0.46","intercept",0.174377834764004,0.0550257012506572,"MAR","Multiple Imputations",101
"117",101,"propMissAct_0.63_autoCorr_0.46","xreg1",4.95857157739874,0.686856060276044,"MAR","Multiple Imputations",101
"118",101,"propMissAct_0.63_autoCorr_0.46","xreg2",2.09258836158796,0.169930197422301,"MAR","Multiple Imputations",101
"119",101,"propMissAct_0.63_autoCorr_0.46","phi",-1.60361234497976,0.193290536878588,"MAR","Multiple Imputations",101
"120",101,"propMissAct_0.63_autoCorr_0.46","sigma",0.689007217650433,NA,"MAR","Multiple Imputations",101
"121",102,"propMissAct_0.24_autoCorr_0.73","ar1",0.39207651012207,0.0425185618179147,"MAR","dropNA_simple",102
"122",102,"propMissAct_0.24_autoCorr_0.73","intercept",4.82861774310281,0.630054367566122,"MAR","dropNA_simple",102
"123",102,"propMissAct_0.24_autoCorr_0.73","xreg1",1.73781928695493,0.179396163563098,"MAR","dropNA_simple",102
"124",102,"propMissAct_0.24_autoCorr_0.73","xreg2",-1.5230877870667,0.177300218742613,"MAR","dropNA_simple",102
"125",102,"propMissAct_0.24_autoCorr_0.73","sigma",0.624927602925651,NA,"MAR","dropNA_simple",102
"126",102,"propMissAct_0.43_autoCorr_0.75","ar1",0.393036053231002,0.0537670539087952,"MAR","dropNA_simple",102
"127",102,"propMissAct_0.43_autoCorr_0.75","intercept",5.80472094178634,0.769602703838256,"MAR","dropNA_simple",102
"128",102,"propMissAct_0.43_autoCorr_0.75","xreg1",1.62831208831213,0.188713172716031,"MAR","dropNA_simple",102
"129",102,"propMissAct_0.43_autoCorr_0.75","xreg2",-1.7770583174952,0.220984711002079,"MAR","dropNA_simple",102
"130",102,"propMissAct_0.43_autoCorr_0.75","sigma",0.495985669531085,NA,"MAR","dropNA_simple",102
"131",102,"propMissAct_0.64_autoCorr_0.69","ar1",0.235014291120743,0.0631939099239023,"MAR","dropNA_simple",102
"132",102,"propMissAct_0.64_autoCorr_0.69","intercept",6.04877997902459,0.853232533863527,"MAR","dropNA_simple",102
"133",102,"propMissAct_0.64_autoCorr_0.69","xreg1",1.3158057592285,0.233470487806274,"MAR","dropNA_simple",102
"134",102,"propMissAct_0.64_autoCorr_0.69","xreg2",-1.814585949185,0.240099941363988,"MAR","dropNA_simple",102
"135",102,"propMissAct_0.64_autoCorr_0.69","sigma",0.773598427112455,NA,"MAR","dropNA_simple",102
"136",102,"propMissAct_0.24_autoCorr_0.73","ar1",0.351831982781661,0.0445883884151411,"MAR","dropNA_complete",102
"137",102,"propMissAct_0.24_autoCorr_0.73","intercept",5.02366441449129,0.631854619260558,"MAR","dropNA_complete",102
"138",102,"propMissAct_0.24_autoCorr_0.73","xreg1",1.7521117379167,0.183418838539093,"MAR","dropNA_complete",102
"139",102,"propMissAct_0.24_autoCorr_0.73","xreg2",-1.58120236920331,0.177718119046015,"MAR","dropNA_complete",102
"140",102,"propMissAct_0.24_autoCorr_0.73","sigma",0.647162418153839,NA,"MAR","dropNA_complete",102
"141",102,"propMissAct_0.43_autoCorr_0.75","ar1",0.441312078784462,0.0556472521585912,"MAR","dropNA_complete",102
"142",102,"propMissAct_0.43_autoCorr_0.75","intercept",5.38649614561315,0.745606942399061,"MAR","dropNA_complete",102
"143",102,"propMissAct_0.43_autoCorr_0.75","xreg1",1.63437516407192,0.178308944748954,"MAR","dropNA_complete",102
"144",102,"propMissAct_0.43_autoCorr_0.75","xreg2",-1.6456290815899,0.214115470319267,"MAR","dropNA_complete",102
"145",102,"propMissAct_0.43_autoCorr_0.75","sigma",0.361253832238096,NA,"MAR","dropNA_complete",102
"146",102,"propMissAct_0.64_autoCorr_0.69","ar1",0.250558982950947,0.0760794429984541,"MAR","dropNA_complete",102
"147",102,"propMissAct_0.64_autoCorr_0.69","intercept",5.46713179881977,1.01286219536221,"MAR","dropNA_complete",102
"148",102,"propMissAct_0.64_autoCorr_0.69","xreg1",1.10769878070617,0.266386036068534,"MAR","dropNA_complete",102
"149",102,"propMissAct_0.64_autoCorr_0.69","xreg2",-1.62537948889708,0.287727204272617,"MAR","dropNA_complete",102
"150",102,"propMissAct_0.64_autoCorr_0.69","sigma",0.762384575472889,NA,"MAR","dropNA_complete",102
"151",102,"propMissAct_0.24_autoCorr_0.73","ar1",0.392947012686174,0.041798491435278,"MAR","Kalman Filter",102
"152",102,"propMissAct_0.24_autoCorr_0.73","intercept",5.02641425710795,0.609995486817194,"MAR","Kalman Filter",102
"153",102,"propMissAct_0.24_autoCorr_0.73","xreg1",1.81337749363617,0.171995802436485,"MAR","Kalman Filter",102
"154",102,"propMissAct_0.24_autoCorr_0.73","xreg2",-1.58661750395333,0.171287789750278,"MAR","Kalman Filter",102
"155",102,"propMissAct_0.24_autoCorr_0.73","sigma",0.619015709763246,NA,"MAR","Kalman Filter",102
"156",102,"propMissAct_0.43_autoCorr_0.75","ar1",0.414112713922487,0.0566178004192799,"MAR","Kalman Filter",102
