"","missingprop_autocor","parameter","mean","sd","2.5%","50%","97.5%","missingness","type","run_no","...1","...12","...13"
"43","propMissAct_0.43_autoCorr_0.75","b_Intercept",5.78822384763719,0.864264907638504,3.98135830375034,5.83415740005562,7.33817073897638,"MAR","brms",102,NA,NA,NA
"44","propMissAct_0.43_autoCorr_0.75","b_light",1.66431172188837,0.172564154746846,1.31052432589246,1.66713057369034,1.99064282752546,"MAR","brms",102,NA,NA,NA
"45","propMissAct_0.43_autoCorr_0.75","b_Q",-1.75063243961361,0.251620606533063,-2.20260156114542,-1.76403508988399,-1.22533233807946,"MAR","brms",102,NA,NA,NA
"46","propMissAct_0.43_autoCorr_0.75","phi",0.34139138619522,0.0805329054198789,0.188227048048989,0.339532874005312,0.506147660907736,"MAR","brms",102,NA,NA,NA
"47","propMissAct_0.43_autoCorr_0.75","sigma",0.554364148464555,0.0255193458512073,0.506922798553215,0.553492919367259,0.607049169634736,"MAR","brms",102,NA,NA,NA
"48","propMissAct_0.43_autoCorr_0.75","Intercept",0.421289267315206,0.052893252335832,0.317954454594334,0.421022898738506,0.526915652401145,"MAR","brms",102,NA,NA,NA
"49","propMissAct_0.64_autoCorr_0.69","b_Intercept",5.44040370656002,0.96051722211764,3.43174183304749,5.49235590988623,7.1879229997076,"MAR","brms",102,NA,NA,NA
"50","propMissAct_0.64_autoCorr_0.69","b_light",1.85161448986118,0.231289843113391,1.3930915714542,1.85281412153414,2.31245544374056,"MAR","brms",102,NA,NA,NA
"51","propMissAct_0.64_autoCorr_0.69","b_Q",-1.68659736927793,0.272389255760236,-2.18053239249406,-1.69885609391987,-1.11545942769089,"MAR","brms",102,NA,NA,NA
"52","propMissAct_0.64_autoCorr_0.69","phi",0.181282221611591,0.121657026906505,-0.0524924869267967,0.177983287623413,0.427518517503567,"MAR","brms",102,NA,NA,NA
"53","propMissAct_0.64_autoCorr_0.69","sigma",0.663255423789464,0.0404313576821183,0.590804266763971,0.661841094779193,0.748265403469754,"MAR","brms",102,NA,NA,NA
"54","propMissAct_0.64_autoCorr_0.69","Intercept",0.382798521077524,0.0673601610968153,0.247842546475463,0.383429197011428,0.515915123034023,"MAR","brms",102,NA,NA,NA
"55","propMissAct_0.24_autoCorr_0.26","b_Intercept",5.65446634666205,0.629609587567344,4.37137264699928,5.66107408725006,6.8797016371563,"MAR","brms",103,NA,NA,NA
"56","propMissAct_0.24_autoCorr_0.26","b_light",1.8006467227679,0.161616152655052,1.4808174287661,1.8012774488615,2.1106857880219,"MAR","brms",103,NA,NA,NA
"57","propMissAct_0.24_autoCorr_0.26","b_Q",-1.72522972606129,0.18059192004558,-2.07581573507926,-1.7292624997591,-1.34989149026386,"MAR","brms",103,NA,NA,NA
"58","propMissAct_0.24_autoCorr_0.26","phi",0.262583995261527,0.0678052647311961,0.128674133581414,0.262931750823626,0.395050773124864,"MAR","brms",103,NA,NA,NA
"59","propMissAct_0.24_autoCorr_0.26","sigma",0.629999560084775,0.0265356718583035,0.580159229551672,0.629254376901873,0.68396161621489,"MAR","brms",103,NA,NA,NA
